ID,書名,作者,分類,難度,摘要,推薦原因,Goodreads,Amazon,YouTube,Wikipedia,說書頻道
"PSY-03","人性的弱點","Dale Carnegie","人性/心理","入門","經典人性指南，教你點樣同人相處、影響別人、贏得友誼。核心就係三個字——同理心。唔好批評、唔好埋怨、真心欣賞人。","呢本書係Warren Buffett辦公室唯一掛住嘅書，佢細個睇完之後上咗Carnegie嘅課程，改變咗佢一生。","https://www.goodreads.com/book/show/1845.How_to_Win_Friends_and_Influence_People","https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034","","https://zh.wikipedia.org/wiki/人性的弱點","Alina粵讀社"
"PSY-04","怪誕行為學","Dan Ariely","人性/心理","入門","用大量有趣實驗揭示人類非理性嘅行為模式——點解免費嘅嘢會令我哋失控？點解我哋成日高估自己擁有的嘢？點引誘我哋做出錯誤決定？","行為經濟學嘅入門好書，用生活化例子講解人性盲點，對投資者、營銷人員同管理者都好有啟發。","https://www.goodreads.com/book/show/1713426.Predictably_Irrational","https://www.amazon.com/Predictably-Irrational-Revised-Expanded-Decisions/dp/006135323X","","https://zh.wikipedia.org/wiki/怪誕行為學","喃喃說書"
"PSY-05","烏合之眾：群眾心理研究","Gustave Le Bon","人性/心理","中階","1895年嘅心理學經典，分析群體點樣令個人喪失理性——匿名性、傳染性、易受暗示。理解群體行為，就理解咗社會運動、股災同營銷爆款背後嘅機制。","Charlie Munger經常引用群體心理學嚟解釋市場泡沫。呢本書對理解股市羊群效應同社交媒體現象極有幫助。","https://www.goodreads.com/book/show/10091516-the-crowd","https://www.amazon.com/Crowd-Study-Popular-Mind-Gustave/dp/0486453979","","https://zh.wikipedia.org/wiki/烏合之眾","Alina粵讀社"
"PSY-06","象與騎象人","Jonathan Haidt","人性/心理","中階","用大象（情緒直覺）同騎象人（理性思考）嘅隱喻解釋人類心理。騎象人以為自己控制咗方向，但大象先係真正嘅力量。理解呢個關係，先可以真正改變自己。","呢本書係現代正向心理學嘅代表作，結合咗古代哲學同現代科學，對自我成長同理解人性都有深度啟發。","https://www.goodreads.com/book/show/96884.The_Happiness_Hypothesis","https://www.amazon.com/Happiness-Hypothesis-Finding-Ancient-Philosophy/dp/0465028020","","https://zh.wikipedia.org/wiki/象與騎象人","喃喃說書"
"GROWTH-01","原子習慣","James Clear","自我成長/習慣","入門","細微嘅習慣改變可以帶嚟巨大嘅人生變化。James Clear提出咗習慣四步法——提示、渴求、回應、獎賞。每日進步1%，一年後你就會進步37倍。","Bill Gates年度推薦書單之一。亞馬遜暢銷榜Top 10長銷書，被廣泛視為現代習慣養成嘅最佳指南。","https://www.goodreads.com/book/show/40121378-atomic-habits","https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299","","https://zh.wikipedia.org/wiki/原子習慣","Alina粵讀社"
"GROWTH-02","與成功有約","Stephen R. Covey","自我成長/習慣","入門","七個高效能習慣：主動積極、以終為始、要事第一、雙贏思維、知彼解己、統合綜效、不斷更新。唔係速成秘籍，而係品格為本嘅人生哲學。","被《時代》雜誌評為「20世紀最具影響力嘅商業書之一」。從CEO到運動員都推崇嘅經典。","https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People","https://www.amazon.com/Habits-Highly-Effective-People-Powerful/dp/1982137274","","https://zh.wikipedia.org/wiki/與成功有約","喃喃說書"
"GROWTH-03","心流：最優體驗心理學","Mihaly Csikszentmihalyi","自我成長/習慣","中階","心流係指完全沉浸喺一件事當中、忘卻時間嘅狀態。作者透過研究藝術家、運動員、科學家發現，心流係人類最快樂嘅時刻。教你點樣刻意創造心流。","影響咗Steve Jobs嘅設計哲學，亦係積極心理學嘅奠基之作。Tim Ferriss經常引用心流概念。","https://www.goodreads.com/book/show/66354.Flow","https://www.amazon.com/Flow-Psychology-Experience-Perennial-Classics/dp/0061339202","","https://zh.wikipedia.org/wiki/心流_(心理學)","Alina粵讀社"
"GROWTH-04","刻意練習","Anders Ericsson","自我成長/習慣","中階","天才唔係天生嘅，係練出嚟嘅。Ericsson研究咗各個領域嘅頂尖人物，發現佢哋嘅共通點係「刻意練習」——有目標、有反饋、跳出舒適圈嘅練習。","推翻咗「一萬小時定律」嘅粗糙說法，被Bill Gates、Elon Musk推崇嘅學習方法論。","https://www.goodreads.com/book/show/26312997-peak","https://www.amazon.com/Peak-Secrets-New-Science-Expertise/dp/0544947223","","https://zh.wikipedia.org/wiki/刻意練習","喃喃說書"
"GROWTH-05","成長心態","Carol S. Dweck","自我成長/習慣","入門","固定型心態 VS 成長型心態——前者認為能力天生不變，後者相信可以透過努力成長。呢種心態差異決定咗一個人嘅成就高度。","Bill Gates推薦說：「呢本書改變咗我對學習同失敗嘅看法。」被引用喺從教育到企業管理嘅各個領域。","https://www.goodreads.com/book/show/40745.Mindset","https://www.amazon.com/Mindset-Psychology-Carol-S-Dweck/dp/0345472322","","https://zh.wikipedia.org/wiki/心態致勝","Alina粵讀社"
"GROWTH-06","深度工作","Cal Newport","自我成長/習慣","中階","喺呢個充滿干擾嘅世界，深度工作（無間斷嘅專注狀態）變成咗最稀缺嘅技能。Newport教你點樣設計工作習慣，進入深度專注，產生高質量產出。","Bill Gates每年會進行兩次「思考週」，完全隔離深度閱讀，就係深度工作嘅最佳示範。","https://www.goodreads.com/book/show/25744928-deep-work","https://www.amazon.com/Deep-Work-Focused-Success-Distracted/dp/1455586692","","https://zh.wikipedia.org/wiki/深度工作","喃喃說書"
"GROWTH-07","為什麼我們這樣生活，那樣工作？","Charles Duhigg","自我成長/習慣","入門","揭開習慣運作嘅神經科學機制——提示、慣例行為、獎勵嘅「習慣迴路」。無論係個人改掉壞習慣，定係企業改變文化，都可以運用呢個框架。","《紐約時報》暢銷榜第一，被多家Fortune 500公司用嚟培訓員工。深入淺出解釋習慣嘅科學。","https://www.goodreads.com/book/show/12609433-the-power-of-habit","https://www.amazon.com/Power-Habit-What-Life-Business/dp/081298160X","","https://zh.wikipedia.org/wiki/習慣的力量","Alina粵讀社"
"BIZ-01","從0到1","Peter Thiel","商業/創業思維","中階","PayPal創辦人、Facebook早期投資者Peter Thiel分享創業哲學。核心觀點：真正嘅創新係「從0到1」——做一啲從來冇人做過嘅事，而唔係喺競爭中複製別人。","Elon Musk、Mark Zuckerberg同好多矽谷創業者都推薦。係了解風險投資思維同壟斷理論嘅必讀。","https://www.goodreads.com/book/show/18050143-zero-to-one","https://www.amazon.com/Zero-One-Notes-Startups-Future/dp/0804139296","","https://zh.wikipedia.org/wiki/從0到1","喃喃說書"
"BIZ-02","創新者的窘境","Clayton Christensen","商業/創業思維","中階","解釋咗點解大公司會被初創公司顛覆——唔係因為管理不善，而係因為佢哋太聽現有客戶嘅話。破壞性創新嘅經典理論，改變咗整個商業世界嘅思考方式。","Steve Jobs、Jeff Bezos同Andy Grove都深受呢本書影響。被《經濟學人》評為「史上最重要嘅商業書之一」。","https://www.goodreads.com/book/show/2615.The_Innovator_s_Dilemma","https://www.amazon.com/Innovators-Dilemma-Technologies-Management-Innovation/dp/1633691780","","https://zh.wikipedia.org/wiki/創新者的窘境","Alina粵讀社"
"BIZ-03","精實創業","Eric Ries","商業/創業思維","入門","提出咗「構建-衡量-學習」迴圈，用MVP（最小可行產品）快速測試市場假設。唔好諗住一次過做完美，要快啲失敗、快啲學習。","矽谷創業聖經，改變咗成個新創圈嘅運作方式。Elon Musk嘅SpaceX同Tesla都係用呢種迭代方法。","https://www.goodreads.com/book/show/10127019-the-lean-startup","https://www.amazon.com/Lean-Startup-Entrepreneurs-Continuous-Innovation/dp/0307887898","","https://zh.wikipedia.org/wiki/精實創業","喃喃說書"
"BIZ-04","好策略·壞策略","Richard Rumelt","商業/創業思維","進階","拆解咩叫真正嘅策略——診斷問題、制定指導方針、設計連貫行動。壞策略係一堆願景廢話，好策略係清晰嘅問題解決方案。","被《經濟學人》評為「最好嘅策略書」。Steve Jobs嘅回歸Apple策略就係經典案例。","https://www.goodreads.com/book/show/11721966-good-strategy-bad-strategy","https://www.amazon.com/Good-Strategy-Bad-Difference-Matters/dp/0307886239","","https://zh.wikipedia.org/wiki/好策略·壞策略","Alina粵讀社"
"BIZ-05","Steve Jobs 賈伯斯傳","Walter Isaacson","商業/創業思維","入門","根據Steve Jobs本人授權嘅傳記，記錄咗佢由車庫創業到改變世界嘅一生。從被趕出自己公司到回歸拯救Apple，充滿跌宕起伏同真實嘅人性。","直接嘅創業者故事，最勵志最有啟發。Bill Gates話呢本書係「關於商業領袖最好嘅書之一」。","https://www.goodreads.com/book/show/11084145-steve-jobs","https://www.amazon.com/Steve-Jobs-Walter-Isaacson/dp/1451648537","","https://zh.wikipedia.org/wiki/史蒂夫·喬布斯傳","喃喃說書"
"BIZ-06","重新定義公司：Google如何運作","Eric Schmidt / Jonathan Rosenberg","商業/創業思維","中階","前Google CEO Eric Schmidt分享Google嘅管理哲學——點樣吸引頂尖人才、建立創新文化、用數據做決策、以使命為本。","直接反映咗Google作為全球最具創新力公司之一嘅內部運作。對任何想建立創新團隊嘅管理者都好有參考價值。","https://www.goodreads.com/book/show/18079753-how-google-works","https://www.amazon.com/How-Google-Works-Eric-Schmidt/dp/1455582344","","https://zh.wikipedia.org/wiki/重新定义公司","Alina粵讀社"
"BIZ-07","高效能人士的執行4紀律","Chris McChesney / Sean Covey / Jim Huling","商業/創業思維","中階","講解點樣將最重要嘅戰略目標變成團隊每日嘅執行——專注最重要目標、追蹤領先指標、記分板、定期問責。解決「知易行難」嘅問題。","被全球超過2,000間公司採用嘅執行框架。將Covey嘅理念變成可落地嘅執行系統。","https://www.goodreads.com/book/show/9531744-the-4-disciplines-of-execution","https://www.amazon.com/Disciplines-Execution-Achieving-Wildly-Important/dp/145162705X","","","喃喃說書"
"BIZ-08","E-Myth 終結混亂","Michael E. Gerber","商業/創業思維","入門","拆穿咗創業最大迷思——「技術好＝生意好。」Gerber話創業者需要做三種人：技術員、管理者同企業家。教你將生意變成可以複製嘅系統。","幫助咗無數小企業主從「自己落手做」轉型為「建立系統。」被認為係小企業經營嘅必讀聖經。","https://www.goodreads.com/book/show/81948.The_E_Myth_Revisited","https://www.amazon.com/Myth-Revisited-Small-Businesses-About/dp/0887307280","","https://zh.wikipedia.org/wiki/E-Myth","Alina粵讀社"
"AI-01","人工智能：一種現代方法","Stuart Russell / Peter Norvig","AI/學習","進階","AI領域嘅聖經級教科書，全面覆蓋AI各個範疇——問題求解、知識推理、深度學習到LLM。全球超過1,500間大學採用。","AI學術界同業界公認嘅百科全書，係系統性理解AI嘅最佳起點。","https://www.goodreads.com/book/show/27543.Artificial_Intelligence","https://www.amazon.com/Artificial-Intelligence-Modern-Approach-4th/dp/0134610997","","https://zh.wikipedia.org/wiki/人工智能：一种现代方法","N/A"
"AI-02","深度學習（花書）","Ian Goodfellow / Yoshua Bengio / Aaron Courville","AI/學習","進階","三位AI界重量級人物合著嘅深度學習權威教科書，由數學基礎到CNN/RNN/Tranformer前身序列模型，係DL入行聖經。","作者包括圖靈獎得主Bengio，係深度學習領域最權威嘅教科書。","https://www.goodreads.com/book/show/20386195-deep-learning","https://www.amazon.com/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618","","https://zh.wikipedia.org/wiki/深度学习_(书)","N/A"
"AI-03","Attention Is All You Need（Transformer原論文）","Vaswani et al. (Google)","AI/學習","進階","改變世界嘅論文——提出Transformer架構，完全基於注意力機制，成為而家所有LLM（GPT/Claude/Gemini/LLaMA）嘅基石。","AI史上最重要嘅文章，理解Transformer嘅運作原理係理解現代AI嘅必經之路。","","","https://www.youtube.com/results?search_query=transformer+attention+is+all+you+need+explained","https://zh.wikipedia.org/wiki/Transformer","3Blue1Brown (YouTube)"
"AI-04","Hands-On Machine Learning","Aurélien Géron","AI/學習","中階","實戰派ML教材，用大量代碼帶你由Scikit-Learn傳統ML到Keras/TensorFlow深度學習。GitHub上最多stars嘅ML實戰書。","Amazon 4.7星，適合想落手寫code嘅人。跟住做晒啲projects就夠能力做ML工程。","https://www.goodreads.com/book/show/40363665-hands-on-machine-learning-with-scikit-learn-keras-and-tensorflow","https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1098125975","","","N/A"
"AI-05","Build a Large Language Model (From Scratch)","Sebastian Raschka","AI/學習","中階","2024年出版，一步步由零建立一個LLM——從Tokenization、注意力機制實作、預訓練到微調。GitHub上有完整代碼。","市面上極少數「由零寫LLM」嘅實戰書，適合有Python基礎想深入理解LLM內部運作嘅人。","https://www.goodreads.com/book/show/209183777-build-a-large-language-model-from-scratch","https://www.amazon.com/Build-Large-Language-Model-Scratch/dp/1633437167","","","N/A"
"AI-06","LangChain 入門與實戰","LangChain 官方文檔 & 社群","AI/學習","入門","最流行嘅LLM應用框架，串接Prompt/RAG/Agent/Tool Calling。同MCP Protocol結合，係構建AI Agent嘅核心工具。","構建LLM應用嘅必學框架，官方文檔＋YouTube教學即可上手。","","","https://www.youtube.com/results?search_query=langchain+tutorial+beginner","https://python.langchain.com/docs/tutorials/","NetworkChuck / Fireship (YouTube)"
"AI-07","n8n 自動化工作流實戰","n8n 官方文檔","AI/學習","入門","開源可視化工作流自動化工具，可串接AI Agent/API/數據庫。支援LangChain Nodes，自托管數據唔出去。","而家最流行嘅AI工作流編排工具，可以搭LiteLLM做多模型路由。","","","https://www.youtube.com/results?search_query=n8n+ai+tutorial","https://docs.n8n.io/","n8n Official (YouTube)"
"AI-08","RAG：檢索增強生成實戰","社群資源 / LLM 文檔","AI/學習","中階","RAG係LLM應用最主流架構——Chunking → Embedding → Vector Search → Generation。解決LLM知識截止同幻覺問題。","構建企業級AI應用幾乎必用RAG。OpenAI Cookbook同LangChain文檔有詳細教學。","","","https://www.youtube.com/results?search_query=rag+explained+tutorial","https://www.pinecone.io/learn/rag/","James Briggs (YouTube)"
"AI-09","LiteLLM 實戰：統一多模型接口","LiteLLM 官方文檔","AI/學習","入門","統一API接口呼叫100+ LLM，支援Load Balancing/Fallback/Rate Limiting。AI應用嘅基建工具。","用多個模型供應商（DeepSeek/Claude/GPT等）必備工具，開源免費。","","","https://www.youtube.com/results?search_query=litellm+tutorial","https://docs.litellm.ai/","N/A"
"AI-10","MCP (Model Context Protocol) 入門","Anthropic 官方","AI/學習","入門","Anthropic推出嘅開放協議，標準化LLM同外部工具/數據源嘅連接。MCP Server可將任何API變成LLM Tool。","MCP係AI工具生態嘅未來，Claude/OpenClaw已經原生支援。","","","https://www.youtube.com/results?search_query=mcp+model+context+protocol","https://modelcontextprotocol.io/","Anthropic Official"
"KID-01","如何培養孩子的品格","Paul Tough","親子教養","入門","揭示咗決定孩子成功嘅關鍵唔係IQ或考試分數，而係毅力、好奇心、責任感等品格特質。深入探討點樣幫孩子建立「逆境韌性」。","Bill Gates推薦書單之一，被紐約時報評為「每個家長都應該讀嘅書」。打破咗「贏在起跑線」嘅迷思。","https://www.goodreads.com/book/show/13033826-how-children-succeed","https://www.amazon.com/How-Children-Succeed-Curiosity-Character/dp/0544104401","","","Alina粵讀社"
"KID-02","與孩子對話的66堂說話課","Adele Faber / Elaine Mazlish","親子教養","入門","經典親子溝通聖經，教你點樣同孩子講嘢先會聽、點樣表達感受、點樣代替懲罰。核心：同理心溝通 > 命令式管教。","全球銷售超過300萬本，被翻譯成30多種語言。Faber嘅溝通技巧唔止用喺親子，職場同伴侶關係都適用。","https://www.goodreads.com/book/show/769016.How_to_Talk_So_Kids_Will_Listen","https://www.amazon.com/How-Talk-Kids-Will-Listen/dp/145166388X","","https://zh.wikipedia.org/wiki/如何說話孩子才會聽","喃喃說書"
"KID-03","成長型思維教養法","Carol S. Dweck","親子教養","入門","將成長心態理論應用喺親子教養——讚賞努力而非天份、擁抱失敗作為學習機會、培養孩子嘅「仲未」思維。","Dweck嘅成長心態係近十年最影響教育界嘅心理學理論。教家長點樣培養出不怕挑戰、熱愛學習嘅孩子。","https://www.goodreads.com/book/show/40745.Mindset","https://www.amazon.com/Mindset-Psychology-Carol-S-Dweck/dp/0345472322","","https://zh.wikipedia.org/wiki/心態致勝","Alina粵讀社"
"KID-04","原子習慣（青少年版）","James Clear","親子教養","入門","原子習慣嘅青少年改編版，用更貼近年輕人嘅例子講解習慣養成——點樣建立好習慣、打斷壞習慣、每日進步1%。","原子習慣全球熱賣，青少年版專為細路設計。適合家長同孩子一齊讀，建立共同嘅習慣框架。","https://www.goodreads.com/book/show/57116593-atomic-habits-for-teens","https://www.amazon.com/Atomic-Habits-Teens-James-Clear/dp/0735230978","","","喃喃說書"
"KID-05","遊戲力：陪孩子玩出競爭力","Lawrence J. Cohen","親子教養","入門","用遊戲作為同孩子連結嘅橋樑——透過玩嚟解決行為問題、建立自信、處理情緒。大人以為玩冇用，但其實玩係孩子最好嘅學習方式。","被譽為親子界嘅「影響力」，美國Amazon長銷教養書。將心理學理論變成具體可以玩嘅遊戲。","https://www.goodreads.com/book/show/69089.Playful_Parenting","https://www.amazon.com/Playful-Parenting-Exciting-Connect-Your/dp/0345475674","","","Alina粵讀社"
"KID-06","培養七個好習慣（兒童版）","Sean Covey","親子教養","入門","將Stephen Covey嘅《與成功有約》七習慣改編成小朋友版本——主動積極、以終為始、要事第一、雙贏思維等，用動物故事解釋。","全球超過500萬本銷量，係兒童品格教育嘅經典教材。Covey家族將成功人士嘅習慣從小教起。","https://www.goodreads.com/book/show/533300.The_7_Habits_of_Happy_Kids","https://www.amazon.com/Habits-Happy-Kids-Sean-Covey/dp/1416957762","","","喃喃說書"
"KID-07","孩子的金錢教育","Ron Lieber","親子教養","入門","教你點樣同孩子談金錢——零用錢點俾、點樣教儲蓄同捐贈、點樣同孩子解釋「錢從哪裡來」。財商教育從小開始。","紐約時報暢銷書，Warren Buffett都話「教孩子理財係父母最應該做嘅事之一」。同富爸爸系列理念互補。","https://www.goodreads.com/book/show/22511572-the-opposite-of-spoiled","https://www.amazon.com/Opposite-Spoiled-Raising-Grounded-Generous/dp/0062247017","","","Alina粵讀社"
"KID-08","安靜的孩子也有力量","Susan Cain","親子教養","中階","「安靜」係孩子嘅超能力，唔係缺點。Cain探討點樣支持內向孩子喺外向社會中發揮優勢——深度思考、創造力、同理心。","Susan Cain嘅《安靜》係影響力極大嘅心理學書。呢本親子版幫助家長理解同支援內向型孩子。","https://www.goodreads.com/book/show/40303954-quiet-power","https://www.amazon.com/Quiet-Power-Success-Introverts-Extroverts/dp/0142429730","","https://zh.wikipedia.org/wiki/安靜，就是力量","喃喃說書"
